Female,LangAtHome,PARED,HOMEPOS,IMMIG,PV1MATH,year
1,1,14,-0.4031,1,376.771,2015
1,1,14,-1.5422,1,527.782,2015
1,1,12,-0.3878,0,426.945,2015
0,1,16,1.9595,1,594.88,2015
1,1,14,1.1485,1,532.843,2015
0,1,16,1.496,0,509.981,2015
1,1,16,-0.3065,1,369.33,2015
0,1,12,-0.5019,0,341.066,2015
1,1,16,0.225,1,471.095,2015
1,1,16,2.8913,1,633.686,2015
0,0,6,-1.5805,0,324.566,2015
1,1,12,-0.6765,1,334.719,2015
0,1,12,0.5465,1,468.452,2015
1,0,12,-2.0931,0,410.25,2015
0,1,16,0.4379,1,503.559,2015
0,1,12,-0.5118,1,557.445,2015
0,1,16,-1.4575,1,553.949,2015
1,0,3,-1.338,0,327.163,2015
1,1,16,0.7771,1,480.849,2015
0,1,16,1.3577,1,492.258,2015
1,0,16,1.6001,0,293.262,2015
1,0,16,-1.0475,1,560.101,2015
1,1,16,-0.1609,1,642.367,2015
0,1,16,1.5668,1,416.654,2015
1,1,16,0.789,1,465.337,2015
1,1,12,-1.2162,1,414.316,2015
1,0,16,-0.1154,0,597.383,2015
1,1,14,0.5083,0,461.344,2015
1,0,12,-0.8989,0,420.004,2015
0,1,16,-0.1574,1,395.321,2015
0,1,16,0.0101,1,379.842,2015
0,0,12,-0.2734,0,551.52,2015
1,1,12,1.939,1,655.926,2015
0,1,14,-0.0912,1,209.008,2015
1,1,12,-0.0664,1,486.607,2015
1,1,16,1.9221,1,544.963,2015
1,1,12,-0.1802,1,302.256,2015
0,1,14,-1.4485,1,439.033,2015
1,1,16,-0.0191,1,470.949,2015
0,1,12,-0.686,1,403.678,2015
1,1,9,-2.1199,1,365.304,2015
1,1,16,2.0654,0,410.147,2015
1,1,16,0.6381,1,487.15,2015
0,1,16,0.2559,1,540.228,2015
1,1,16,2.1682,1,602.2,2015
1,0,12,-0.1481,0,480.556,2015
0,0,12,-1.171,0,509.709,2015
0,1,16,1.1396,1,1.607434116,2018
0,1,16,0.1032,1,-1.402098964,2018
0,1,16,2.6094,1,0.431628409,2018
1,0,16,1.4521,0,0.459980521,2018
1,1,16,0.1049,1,0.226871636,2018
0,1,16,0.7383,1,0.729369205,2018
0,1,16,1.958,1,2.336748581,2018
1,1,16,-0.3938,1,-0.280860168,2018
1,0,16,-0.495,0,-0.678182305,2018
1,1,16,0.9995,1,-0.184604747,2018
0,1,16,1.0894,0,1.704441958,2018
0,1,16,0.7423,1,1.33860157,2018
1,0,14,-0.209,0,1.054360742,2018
1,1,12,-2.2952,1,-1.466774493,2018
0,1,12,0.7745,1,-0.377682631,2018
0,0,12,-1.0352,0,0.374618854,2018
1,1,16,0.2934,0,0.751821897,2018
1,1,12,1.1135,1,-1.011679476,2018
0,1,12,-0.3434,1,0.967657802,2018
0,1,12,-1.2902,1,-1.771330701,2018
0,1,12,1.6331,1,-0.396962067,2018
0,0,16,-0.0078,1,-1.056115959,2018
1,1,14,1.6765,1,-1.278014855,2018
1,0,12,-1.148,0,1.123474467,2018
0,1,16,0.2682,1,-1.298101236,2018
0,1,16,-0.1455,1,-0.632448167,2018
1,1,12,0.0449,1,-0.107770524,2018
1,1,14,0.091,1,1.066126868,2018
1,1,16,1.3685,1,0.390201611,2018
0,1,16,0.3036,1,0.431312174,2018
0,0,12,-0.5971,0,-0.213360332,2018
1,1,16,0.1672,1,0.785506387,2018
1,1,16,0.2269,1,0.674409726,2018
0,1,16,-0.2607,1,0.960787867,2018
0,1,16,0.324,1,0.427909921,2018
1,1,14,-1.7571,1,0.146744206,2018
1,1,9,-1.4039,0,-0.158760707,2018
1,1,16,1.4714,1,-0.367388633,2018
1,1,12,-1.3748,1,-1.257088815,2018
1,1,12,-0.1802,1,-0.173896373,2018
0,1,16,2.2589,1,-0.35153326,2018
1,1,16,5.3188,1,0.240208034,2018
0,1,12,-2.4955,1,-0.008439989,2018
1,1,14,0.2193,1,0.393516628,2018
1,1,16,1.6927,1,1.067937042,2018
1,1,12,0.502,1,-1.493785333,2018
1,1,16,4.0071,1,1.714092581,2018
1,1,16,0.3554,1,0.69614271,2018
0,1,12,-0.6024,1,0.837085421,2018
1,1,14,-0.4816,1,-0.679567196,2018
0,1,16,-1.9191,1,-1.198498085,2018
0,0,9,0.109,0,-1.322854811,2018
0,1,16,-0.1264,1,-0.313803141,2018
1,1,16,0.1579,1,0.727493603,2018
0,1,12,-0.0974,1,1.164988502,2018
1,1,14,2.0814,1,-1.310434405,2018
0,1,14,1.136,1,1.016619719,2018
1,1,16,0.138,1,-0.578840866,2018
1,0,16,-1.6589,0,-1.528941952,2018
0,1,14,-0.8096,1,0.031569203,2018
0,1,16,2.9187,1,0.70159504,2018
0,1,12,-1.0245,1,0.335416607,2018
1,0,12,0.4633,0,0.277098494,2018
1,1,12,-0.3689,1,-0.263696235,2018
1,1,14,0.1055,1,-0.816616944,2018
0,1,16,0.1173,1,2.169852783,2018
1,1,16,0.9753,1,0.185695646,2018
1,1,9,-1.0677,1,-0.021416533,2018
1,1,16,0.4558,1,0.153690473,2018
0,0,12,-0.9823,0,0.586627225,2018
0,0,16,0.4367,0,0.813727643,2018
1,1,16,0.3443,1,1.123125518,2018
0,1,16,0.6828,1,1.095329544,2018
0,1,16,0.2609,1,0.189773988,2018
0,1,16,0.2959,1,1.306640016,2018
0,1,16,0.9269,1,1.199196416,2018
1,1,16,0.9026,1,0.836605616,2018
0,1,16,0.9232,1,0.215966978,2018
1,1,12,0.029,1,-0.710514617,2018
1,0,16,-0.9845,1,-0.345470269,2018
1,1,14,-0.6512,1,-1.079059361,2018
0,1,14,0.4856,1,1.292518483,2018
0,1,12,-1.1922,1,-0.548122443,2018
0,1,16,-1.4138,1,-0.751854178,2018
0,1,16,2.2951,1,1.853683114,2018
0,1,16,2.8429,1,0.44757102,2018
0,1,16,-1.0729,1,1.44063646,2018
0,1,16,0.5368,1,1.471038648,2018
1,1,14,0.0495,1,-2.172589419,2018
0,1,16,2.4978,1,0.524328911,2018
1,1,16,2.0499,1,-0.260206745,2018
1,1,12,-0.048,1,-0.805766809,2018
0,1,12,-0.5862,1,-0.455738176,2018
1,1,14,-0.4531,1,-0.720448761,2018
0,1,16,1.0596,1,1.721344179,2018
1,0,14,-0.3823,1,-0.397311016,2018
0,1,16,0.1106,1,0.977799135,2018
1,1,12,0.3799,0,0.533543347,2018
0,1,12,-1.0701,1,-0.938062126,2018
1,1,16,1.0514,1,-0.775986187,2018
